Distancia (pixeles),medicion 1,medicion 2,medicion 3,medicion 4,medicion 5,medicion 6,medicion 7,medicion 8,medicion 9,medicion 10,medicion 11,medicion 12,medicion 13,medicion 14,medicion 15,medicion 16,medicion 17,medicion 18,medicion 19,medicion 20,medicion 21,medicion 22,medicion 23,medicion 24
124,235.0,166.333,91.333,80.667,66.667,58.333,49.667,43.0,20.0,112.667,22.666999999999998,24.0,55.333,45.667,29.666999999999998,17.0,13.333,25.333000000000002,23.0,14.667,66.333,11.333,40.667,8.0
125,232.667,165.0,90.333,81.667,63.333,66.333,48.0,42.333,41.667,90.0,25.0,22.333000000000002,58.333,50.333,35.667,19.333,13.333,33.0,23.333000000000002,13.667,64.667,11.333,50.667,10.667
126,231.667,165.0,89.0,81.667,61.667,60.333,46.667,42.333,65.0,92.667,25.0,22.0,67.667,57.0,51.667,26.666999999999998,14.0,29.333000000000002,23.333000000000002,14.0,66.333,11.333,54.667,10.667
127,218.0,166.667,89.0,83.0,60.333,59.0,47.333,44.667,89.667,53.0,25.666999999999998,22.0,64.333,62.667,76.0,32.667,15.333,30.0,21.666999999999998,13.667,67.0,11.333,57.0,13.667
128,213.333,166.667,89.667,85.333,65.0,58.0,49.0,45.333,99.0,61.0,27.666999999999998,22.666999999999998,58.333,65.0,91.667,41.333,23.333000000000002,30.0,21.0,14.0,64.0,11.333,60.0,15.667
129,176.333,160.0,88.667,83.667,66.667,60.667,47.333,46.0,103.0,61.0,28.333000000000002,22.666999999999998,50.333,65.667,104.333,44.0,25.0,33.0,16.0,14.0,60.333,13.333,60.667,20.333
130,181.0,168.0,92.333,82.0,75.333,59.667,48.0,46.0,121.333,61.667,29.666999999999998,22.0,44.0,67.0,118.333,54.667,33.0,30.666999999999998,16.333,14.0,51.0,13.333,62.667,26.0
131,180.333,171.667,93.333,84.0,87.667,59.667,50.0,40.0,114.333,58.0,28.0,22.666999999999998,34.667,67.667,127.333,62.333,42.333,30.0,13.667,14.0,44.0,15.0,61.667,32.0
132,188.333,171.667,94.667,83.333,88.333,59.667,52.333,44.667,103.0,73.667,26.333000000000002,23.0,25.333000000000002,68.333,132.0,69.0,51.333,26.333000000000002,13.667,14.0,35.0,15.0,58.667,38.0
133,186.667,177.667,100.333,84.0,90.333,59.667,52.333,45.667,89.333,82.333,24.0,24.0,21.0,62.333,130.0,70.0,56.667,25.0,13.333,14.0,24.333000000000002,24.0,54.0,42.0
