Time,Value
"0,000000","9,248101E+1"
"0,002000","9,178447E+1"
"0,004000","9,735673E+1"
"0,006000","9,646119E+1"
"0,008000","1,005409E+2"
"0,010000","1,018344E+2"
"0,012000","1,032275E+2"
"0,014000","1,026305E+2"
"0,016000","9,894880E+1"
"0,018000","9,586416E+1"
"0,020000","9,626218E+1"
"0,022000","9,248101E+1"
"0,024000","9,596367E+1"
"0,026000","9,656069E+1"
"0,028000","1,021329E+2"
"0,030000","1,030285E+2"
"0,032000","1,058146E+2"
"0,034000","1,017349E+2"
"0,036000","1,002424E+2"
"0,038000","9,636168E+1"
"0,040000","9,268002E+1"
"0,042000","9,467011E+1"
"0,044000","9,785425E+1"
"0,046000","9,616268E+1"
"0,048000","1,032275E+2"
"0,050000","1,058146E+2"
"0,052000","1,054166E+2"
"0,054000","1,024315E+2"
"0,056000","1,003419E+2"
"0,058000","9,566515E+1"
"0,060000","9,476961E+1"
"0,062000","9,347605E+1"
"0,064000","9,397357E+1"
"0,066000","9,855078E+1"
"0,068000","1,042225E+2"
"0,070000","1,043221E+2"
"0,072000","1,027300E+2"
"0,074000","1,014364E+2"
"0,076000","1,013369E+2"
"0,078000","9,785425E+1"
"0,080000","9,347605E+1"
"0,082000","9,377457E+1"
"0,084000","9,437159E+1"
"0,086000","9,944633E+1"
"0,088000","1,018344E+2"
"0,090000","1,038245E+2"
"0,092000","1,034265E+2"
"0,094000","1,018344E+2"
"0,096000","9,994385E+1"
"0,098000","9,725723E+1"
"0,100000","9,347605E+1"
"0,102000","9,596367E+1"
"0,104000","9,536664E+1"
"0,106000","1,005409E+2"
"0,108000","1,015359E+2"
"0,110000","1,043221E+2"
"0,112000","1,026305E+2"
"0,114000","1,006404E+2"
"0,116000","9,904831E+1"
"0,118000","9,526713E+1"
"0,120000","9,407308E+1"
"0,122000","9,586416E+1"
"0,124000","9,457060E+1"
"0,126000","9,884930E+1"
"0,128000","1,036255E+2"
"0,130000","1,017349E+2"
"0,132000","1,026305E+2"
"0,134000","1,024315E+2"
"0,136000","9,785425E+1"
"0,138000","9,795376E+1"
"0,140000","9,407308E+1"
"0,142000","9,556565E+1"
"0,144000","9,765524E+1"
"0,146000","9,606317E+1"
"0,148000","1,036255E+2"
"0,150000","1,040235E+2"
"0,152000","1,041230E+2"
"0,154000","1,034265E+2"
"0,156000","9,865029E+1"
"0,158000","9,715772E+1"
"0,160000","9,616268E+1"
"0,162000","9,238150E+1"
"0,164000","9,606317E+1"
"0,166000","1,001429E+2"
"0,168000","1,017349E+2"
"0,170000","1,046206E+2"
"0,172000","1,026305E+2"
"0,174000","1,007399E+2"
"0,176000","9,904831E+1"
"0,178000","9,586416E+1"
"0,180000","9,506812E+1"
"0,182000","9,566515E+1"
"0,184000","9,417258E+1"
"0,186000","9,785425E+1"
"0,188000","1,022325E+2"
"0,190000","1,018344E+2"
"0,192000","1,024315E+2"
"0,194000","1,010384E+2"
"0,196000","9,904831E+1"
"0,198000","9,656069E+1"
"0,200000","9,377457E+1"
"0,202000","9,566515E+1"
"0,204000","9,417258E+1"
"0,206000","9,725723E+1"
"0,208000","1,006404E+2"
"0,210000","1,024315E+2"
"0,212000","1,052176E+2"
"0,214000","1,004414E+2"
"0,216000","9,855078E+1"
"0,218000","9,546614E+1"
"0,220000","9,337655E+1"
"0,222000","9,417258E+1"
"0,224000","9,427209E+1"
"0,226000","9,974484E+1"
"0,228000","1,007399E+2"
"0,230000","1,022325E+2"
"0,232000","1,060136E+2"
"0,234000","1,042225E+2"
"0,236000","1,005409E+2"
"0,238000","9,745623E+1"
"0,240000","9,397357E+1"
"0,242000","9,357556E+1"
"0,244000","9,457060E+1"
"0,246000","9,934682E+1"
"0,248000","1,048196E+2"
"0,250000","1,063121E+2"
"0,252000","1,057151E+2"
"0,254000","1,028295E+2"
"0,256000","1,015359E+2"
"0,258000","9,725723E+1"
"0,260000","9,457060E+1"
"0,262000","9,287902E+1"
"0,264000","9,825227E+1"
"0,266000","9,636168E+1"
"0,268000","1,042225E+2"
"0,270000","1,033270E+2"
"0,272000","1,025310E+2"
"0,274000","1,000434E+2"
"0,276000","9,845128E+1"
"0,278000","9,705822E+1"
"0,280000","9,327704E+1"
"0,282000","9,586416E+1"
"0,284000","9,457060E+1"
"0,286000","9,924732E+1"
"0,288000","1,026305E+2"
