Time,Value
"0,000000","3,578726E+2"
"0,010000","2,337374E+2"
"0,020000","2,833915E+2"
"0,030000","2,585645E+2"
"0,040000","2,833915E+2"
"0,050000","2,585645E+2"
"0,060000","2,585645E+2"
"0,070000","2,337374E+2"
"0,080000","2,089104E+2"
"0,090000","2,089104E+2"
"0,100000","2,585645E+2"
"0,110000","2,585645E+2"
"0,120000","2,089104E+2"
"0,130000","2,585645E+2"
"0,140000","3,578726E+2"
"0,150000","1,840834E+2"
"0,160000","2,585645E+2"
"0,170000","2,833915E+2"
"0,180000","2,833915E+2"
"0,190000","2,585645E+2"
"0,200000","2,585645E+2"
"0,210000","2,337374E+2"
"0,220000","2,585645E+2"
"0,230000","2,585645E+2"
"0,240000","3,330456E+2"
"0,250000","2,337374E+2"
"0,260000","2,833915E+2"
"0,270000","2,089104E+2"
"0,280000","2,833915E+2"
"0,290000","3,082185E+2"
"0,300000","2,585645E+2"
"0,310000","2,585645E+2"
"0,320000","2,089104E+2"
"0,330000","3,082185E+2"
"0,340000","2,833915E+2"
"0,350000","2,089104E+2"
"0,360000","3,330456E+2"
"0,370000","2,585645E+2"
"0,380000","2,337374E+2"
"0,390000","3,082185E+2"
"0,400000","2,585645E+2"
"0,410000","2,089104E+2"
"0,420000","2,337374E+2"
"0,430000","2,585645E+2"
"0,440000","2,833915E+2"
"0,450000","3,082185E+2"
"0,460000","3,330456E+2"
"0,470000","2,585645E+2"
"0,480000","2,833915E+2"
"0,490000","2,089104E+2"
"0,500000","3,082185E+2"
"0,510000","2,585645E+2"
"0,520000","2,585645E+2"
"0,530000","2,337374E+2"
"0,540000","2,833915E+2"
"0,550000","2,585645E+2"
"0,560000","2,833915E+2"
"0,570000","2,833915E+2"
"0,580000","3,082185E+2"
"0,590000","2,833915E+2"
"0,600000","3,578726E+2"
"0,610000","2,585645E+2"
"0,620000","2,833915E+2"
"0,630000","1,840834E+2"
"0,640000","2,585645E+2"
"0,650000","3,082185E+2"
"0,660000","3,082185E+2"
"0,670000","2,585645E+2"
"0,680000","2,089104E+2"
"0,690000","2,585645E+2"
"0,700000","3,330456E+2"
"0,710000","1,840834E+2"
"0,720000","3,330456E+2"
"0,730000","1,840834E+2"
"0,740000","2,337374E+2"
"0,750000","3,082185E+2"
"0,760000","3,578726E+2"
"0,770000","2,585645E+2"
"0,780000","2,833915E+2"
"0,790000","3,082185E+2"
"0,800000","2,585645E+2"
"0,810000","2,585645E+2"
"0,820000","2,089104E+2"
"0,830000","2,833915E+2"
"0,840000","2,585645E+2"
"0,850000","3,082185E+2"
"0,860000","2,833915E+2"
"0,870000","2,337374E+2"
"0,880000","2,833915E+2"
"0,890000","2,585645E+2"
"0,900000","3,330456E+2"
"0,910000","2,585645E+2"
"0,920000","3,082185E+2"
"0,930000","1,840834E+2"
"0,940000","2,585645E+2"
"0,950000","2,833915E+2"
"0,960000","2,337374E+2"
"0,970000","1,840834E+2"
"0,980000","3,578726E+2"
"0,990000","2,089104E+2"
"1,000000","2,833915E+2"
"1,010000","2,833915E+2"
"1,020000","2,337374E+2"
"1,030000","2,585645E+2"
"1,040000","2,585645E+2"
"1,050000","2,585645E+2"
"1,060000","2,585645E+2"
"1,070000","3,082185E+2"
"1,080000","2,585645E+2"
"1,090000","2,337374E+2"
"1,100000","2,089104E+2"
"1,110000","2,089104E+2"
"1,120000","2,337374E+2"
"1,130000","2,833915E+2"
"1,140000","3,330456E+2"
"1,150000","2,585645E+2"
"1,160000","2,833915E+2"
"1,170000","2,585645E+2"
"1,180000","3,330456E+2"
"1,190000","2,833915E+2"
"1,200000","2,833915E+2"
"1,210000","3,330456E+2"
"1,220000","1,840834E+2"
"1,230000","3,330456E+2"
"1,240000","2,585645E+2"
"1,250000","2,585645E+2"
"1,260000","2,833915E+2"
"1,270000","1,840834E+2"
"1,280000","2,833915E+2"
"1,290000","2,585645E+2"
"1,300000","3,082185E+2"
"1,310000","2,337374E+2"
"1,320000","3,330456E+2"
"1,330000","2,089104E+2"
"1,340000","3,578726E+2"
"1,350000","2,585645E+2"
"1,360000","2,833915E+2"
"1,370000","1,840834E+2"
"1,380000","3,082185E+2"
"1,390000","2,833915E+2"
"1,400000","2,337374E+2"
"1,410000","2,585645E+2"
"1,420000","2,833915E+2"
"1,430000","1,840834E+2"
"1,440000","3,082185E+2"
"1,450000","2,585645E+2"
"1,460000","2,585645E+2"
"1,470000","3,082185E+2"
"1,480000","2,585645E+2"
"1,490000","1,840834E+2"
"1,500000","3,578726E+2"
"1,510000","2,089104E+2"
"1,520000","3,330456E+2"
"1,530000","1,840834E+2"
"1,540000","2,833915E+2"
"1,550000","2,337374E+2"
"1,560000","3,578726E+2"
"1,570000","2,337374E+2"
"1,580000","2,337374E+2"
"1,590000","3,330456E+2"
"1,600000","3,330456E+2"
"1,610000","2,585645E+2"
"1,620000","2,337374E+2"
"1,630000","2,585645E+2"
"1,640000","2,833915E+2"
"1,650000","2,833915E+2"
